epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,3639.77,1.13644,0.61037,1.06476,0.86402,0.88115,0.93573,0.60706,1.33517,0.64413,1.18938,0.00127642,0.00127642,0.00127642
144,3665.91,1.12555,0.59095,1.054,0.86847,0.84356,0.93567,0.59157,1.37759,0.66317,1.22105,0.00127367,0.00127367,0.00127367
145,3692.03,1.12402,0.58863,1.06133,0.8231,0.8927,0.9325,0.60246,1.35335,0.66273,1.19968,0.00127092,0.00127092,0.00127092
146,3718.41,1.12619,0.59546,1.05389,0.84061,0.89804,0.93141,0.60241,1.34135,0.64828,1.20084,0.00126817,0.00126817,0.00126817
147,3744.22,1.11083,0.58488,1.04495,0.84602,0.89141,0.92925,0.60959,1.31946,0.66052,1.18653,0.00126542,0.00126542,0.00126542
148,3770.42,1.11689,0.59375,1.0513,0.85114,0.87658,0.93263,0.61078,1.33406,0.66687,1.19072,0.00126267,0.00126267,0.00126267
149,3796.56,1.12849,0.59499,1.0497,0.86661,0.84504,0.93396,0.59688,1.37297,0.66067,1.21359,0.00125992,0.00125992,0.00125992
150,3822.56,1.12387,0.59091,1.05571,0.85289,0.87324,0.92605,0.59986,1.34415,0.65985,1.19682,0.00125717,0.00125717,0.00125717
151,3848.62,1.1155,0.59251,1.05701,0.8255,0.90862,0.93745,0.60734,1.36262,0.65258,1.20493,0.00125442,0.00125442,0.00125442
152,3874.73,1.12961,0.58731,1.05817,0.84465,0.8839,0.92802,0.60071,1.34787,0.67808,1.20324,0.00125167,0.00125167,0.00125167
153,3901.13,1.12336,0.59326,1.05203,0.82717,0.90424,0.93624,0.596,1.37585,0.67053,1.20715,0.00124892,0.00124892,0.00124892
154,3926.95,1.12186,0.5884,1.05304,0.83762,0.89491,0.93562,0.60457,1.35408,0.65086,1.19911,0.00124617,0.00124617,0.00124617
155,3952.6,1.11007,0.59583,1.05197,0.84125,0.87838,0.9366,0.60148,1.35972,0.65254,1.20096,0.00124342,0.00124342,0.00124342
156,3978.38,1.09796,0.5814,1.04935,0.84309,0.88151,0.93538,0.61733,1.33363,0.65672,1.20058,0.00124066,0.00124066,0.00124066
157,4004.7,1.12745,0.59382,1.05146,0.84982,0.86961,0.93572,0.60862,1.34731,0.66263,1.20256,0.00123791,0.00123791,0.00123791
158,4031.44,1.1031,0.57537,1.04398,0.86064,0.83351,0.93033,0.59957,1.36599,0.69461,1.21588,0.00123516,0.00123516,0.00123516
159,4057.85,1.09728,0.5818,1.04837,0.82867,0.91469,0.94086,0.61409,1.35277,0.65435,1.20326,0.00123241,0.00123241,0.00123241
160,4084.23,1.11022,0.58832,1.04766,0.85878,0.84473,0.93058,0.58786,1.4079,0.67874,1.22056,0.00122966,0.00122966,0.00122966
161,4111.82,1.09421,0.57197,1.03956,0.82774,0.89053,0.92502,0.6024,1.34285,0.65231,1.18197,0.00122691,0.00122691,0.00122691
162,4138.03,1.10352,0.58344,1.0426,0.84764,0.87851,0.93612,0.60554,1.35652,0.6566,1.20055,0.00122416,0.00122416,0.00122416
163,4164.33,1.09686,0.57861,1.04701,0.85716,0.85065,0.93484,0.60366,1.36291,0.65799,1.22133,0.00122141,0.00122141,0.00122141
164,4190.52,1.11465,0.59602,1.05103,0.86809,0.87168,0.93942,0.59856,1.35886,0.65598,1.20615,0.00121866,0.00121866,0.00121866
165,4216.86,1.11039,0.58461,1.05724,0.81,0.88986,0.9299,0.59651,1.35608,0.66348,1.20365,0.00121591,0.00121591,0.00121591
166,4243.17,1.10874,0.58213,1.04996,0.88613,0.84112,0.93653,0.59515,1.38196,0.66494,1.2091,0.00121316,0.00121316,0.00121316
167,4269.69,1.092,0.57268,1.04014,0.83946,0.87676,0.93209,0.61226,1.33595,0.65494,1.19348,0.00121041,0.00121041,0.00121041
168,4296.42,1.09074,0.57419,1.04489,0.83816,0.89704,0.93034,0.58005,1.40094,0.66488,1.23752,0.00120766,0.00120766,0.00120766
169,4322.79,1.08721,0.57583,1.04087,0.88509,0.86037,0.93982,0.61738,1.32584,0.63222,1.19019,0.00120491,0.00120491,0.00120491
170,4349.28,1.09775,0.57334,1.04072,0.85451,0.87783,0.93111,0.59297,1.36919,0.66059,1.21374,0.00120216,0.00120216,0.00120216
171,4376.59,1.09468,0.5705,1.03354,0.84095,0.9001,0.93588,0.60974,1.34224,0.65665,1.19818,0.00119941,0.00119941,0.00119941
172,4401.3,1.09627,0.56868,1.03971,0.81588,0.91356,0.93474,0.61845,1.33209,0.66193,1.19504,0.00119666,0.00119666,0.00119666
173,4425.95,1.09872,0.57219,1.05393,0.84223,0.87426,0.93321,0.61398,1.33581,0.65933,1.19502,0.00119391,0.00119391,0.00119391
174,4450.41,1.0811,0.56348,1.04058,0.88238,0.85074,0.94464,0.61678,1.35367,0.63031,1.206,0.00119115,0.00119115,0.00119115
175,4475.09,1.08113,0.56589,1.03908,0.8384,0.87707,0.92842,0.60032,1.37114,0.6613,1.21632,0.0011884,0.0011884,0.0011884
176,4499.66,1.06428,0.56798,1.02967,0.8581,0.8542,0.93653,0.61271,1.339,0.66594,1.20453,0.00118565,0.00118565,0.00118565
177,4524.27,1.07875,0.56918,1.04335,0.83406,0.88276,0.93854,0.60604,1.35718,0.66605,1.20605,0.0011829,0.0011829,0.0011829
178,4548.7,1.08054,0.56582,1.04007,0.84757,0.86727,0.93285,0.59942,1.34318,0.67037,1.19824,0.00118015,0.00118015,0.00118015
179,4573.38,1.08293,0.56909,1.03521,0.87341,0.86597,0.94597,0.62201,1.31778,0.62679,1.1767,0.0011774,0.0011774,0.0011774
180,4597.83,1.08248,0.56129,1.03653,0.8552,0.88041,0.93583,0.61926,1.31954,0.64092,1.19022,0.00117465,0.00117465,0.00117465
181,4622.58,1.08096,0.56385,1.02992,0.81407,0.90805,0.93083,0.59165,1.40327,0.66709,1.2363,0.0011719,0.0011719,0.0011719
